cohort,fold,K,method,n_cell_types,val_auc,held_auc,val_ap,held_ap,val_f1,held_f1,val_mcc,held_mcc
Pappalardo,3,10,HVG,8,0.6499999999999999,0.5,0.7416666666666667,0.49428571428571433,0.7272727272727272,0.6666666666666666,0.31622776601683794,0.28867513459481287
Pappalardo,3,10,LASSO,8,1.0,0.9333333333333333,1.0,0.9266666666666667,0.9090909090909091,0.7692307692307693,0.7905694150420948,0.5590169943749475
Pappalardo,3,10,ElasticNet,8,0.9,0.9,0.9266666666666667,0.925,0.7142857142857143,0.625,0.0,0.0
Pappalardo,3,15,DE_top,8,0.95,0.9333333333333333,0.9666666666666668,0.9266666666666667,0.8333333333333333,0.6666666666666666,0.5976143046671968,0.28867513459481287
Pappalardo,3,15,HVG,8,0.7,0.6666666666666666,0.8083333333333333,0.7253968253968255,0.7272727272727272,0.625,0.31622776601683794,0.0
Pappalardo,3,15,LASSO,8,1.0,0.9333333333333333,1.0,0.9266666666666667,0.8333333333333333,0.7692307692307693,0.5976143046671968,0.5590169943749475
Pappalardo,3,15,ElasticNet,8,1.0,0.9333333333333333,1.0,0.9266666666666667,0.8333333333333333,0.7692307692307693,0.5976143046671968,0.5590169943749475
Pappalardo,3,20,DE_top,8,0.95,1.0,0.9666666666666668,1.0,0.9090909090909091,0.625,0.7905694150420948,0.0
Pappalardo,3,20,HVG,8,0.8500000000000001,0.8333333333333334,0.925,0.8711111111111113,0.6666666666666666,0.6666666666666666,0.05976143046671968,0.28867513459481287
Pappalardo,3,20,LASSO,8,1.0,0.9,1.0,0.8766666666666667,0.8333333333333333,0.7692307692307693,0.5976143046671968,0.5590169943749475
Pappalardo,3,20,ElasticNet,8,1.0,0.9333333333333333,1.0,0.9266666666666667,0.9090909090909091,0.6666666666666666,0.7905694150420948,0.28867513459481287
Pappalardo,3,30,DE_top,8,1.0,0.9333333333333333,1.0,0.9266666666666667,0.7692307692307693,0.625,0.3952847075210474,0.0
Pappalardo,3,30,HVG,8,0.9,0.7666666666666667,0.942857142857143,0.7783333333333333,0.7272727272727272,0.6666666666666666,0.31622776601683794,0.28867513459481287
Pappalardo,3,30,LASSO,8,1.0,0.9666666666666667,1.0,0.9666666666666668,0.9090909090909091,0.625,0.7905694150420948,0.0
Pappalardo,3,30,ElasticNet,8,1.0,0.9,1.0,0.8766666666666667,1.0,0.625,1.0,0.0
Pappalardo,3,50,DE_top,8,1.0,0.8333333333333334,1.0,0.8583333333333334,0.8333333333333333,0.625,0.5976143046671968,0.0
Pappalardo,3,50,HVG,8,0.95,0.7666666666666667,0.9666666666666668,0.7892857142857144,0.8000000000000002,0.6666666666666666,0.55,0.28867513459481287
Pappalardo,3,50,LASSO,8,1.0,0.9333333333333333,1.0,0.9266666666666667,0.9090909090909091,0.625,0.7905694150420948,0.0
Pappalardo,3,50,ElasticNet,8,1.0,0.9333333333333333,1.0,0.9266666666666667,1.0,0.625,1.0,0.0
Pappalardo,4,5,DE_top,8,1.0,1.0,1.0,1.0,0.9090909090909091,0.6666666666666666,0.7453559924999299,0.28867513459481287
Pappalardo,4,5,HVG,8,0.6000000000000001,0.8666666666666667,0.7961904761904762,0.9111111111111112,0.8333333333333333,0.625,0.4879500364742666,0.0
Pappalardo,4,5,LASSO,8,0.8,0.9333333333333333,0.8766666666666667,0.9266666666666667,0.8333333333333333,0.7142857142857143,0.4879500364742666,0.43033148291193524
Pappalardo,4,5,ElasticNet,8,0.8666666666666667,1.0,0.9266666666666667,1.0,0.8333333333333333,0.7142857142857143,0.4879500364742666,0.43033148291193524
Pappalardo,4,10,DE_top,8,0.9333333333333333,1.0,0.9666666666666668,1.0,0.9090909090909091,1.0,0.7453559924999299,1.0
Pappalardo,4,10,HVG,8,0.6666666666666666,0.8666666666666667,0.8261904761904763,0.9111111111111112,0.8333333333333333,0.7142857142857143,0.4879500364742666,0.43033148291193524
Pappalardo,4,10,LASSO,8,0.6000000000000001,1.0,0.6861904761904762,1.0,0.8000000000000002,0.7692307692307693,0.4666666666666667,0.5590169943749475
Pappalardo,4,10,ElasticNet,8,0.4666666666666667,0.9333333333333333,0.6961904761904762,0.9266666666666667,0.7692307692307693,0.8333333333333333,0.0,0.6900655593423543
