method,holdout,fold,cell_type,rho
LASSO,Heming,5,CD8_T,0.2661255947140364
LASSO,Heming,5,DC,0.2997251516889408
LASSO,Heming,5,Mono,0.2680271034338833
LASSO,Heming,5,NK,0.2816073085274538
LASSO,Heming,5,dnT,0.3853933499145391
LASSO,Heming,5,gdT,0.2749364143374777
QUBO,Heming,3,B,0.2321567933165514
QUBO,Heming,3,CD4_T,0.2670569999421722
QUBO,Heming,3,CD8_T,0.173642720075223
QUBO,Heming,3,DC,0.2977113540921307
QUBO,Heming,3,Mono,0.2707065455758746
QUBO,Heming,3,NK,0.1962951183926664
QUBO,Heming,3,dnT,0.292512902399147
QUBO,Heming,3,gdT,0.1989298715259476
QUBO,Heming,4,B,0.2135074348242905
QUBO,Heming,4,CD4_T,0.4613764994801255
QUBO,Heming,4,CD8_T,0.2066893374367493
QUBO,Heming,4,DC,0.2936278861520027
QUBO,Heming,4,Mono,0.2083139988543719
QUBO,Heming,4,NK,0.2001762866231469
QUBO,Heming,4,dnT,0.221705344288295
QUBO,Heming,4,gdT,0.2887521321494833
QUBO,Heming,5,B,0.2063354375088829
QUBO,Heming,5,CD4_T,0.4488516058824164
QUBO,Heming,5,CD8_T,0.2997604425636195
QUBO,Heming,5,DC,0.3471698335592474
QUBO,Heming,5,Mono,0.2428779145244014
QUBO,Heming,5,NK,0.1641693177720884
QUBO,Heming,5,dnT,0.1865514289177744
QUBO,Heming,5,gdT,0.229149206136999
mRMR,Heming,3,B,0.2517975522462037
mRMR,Heming,3,CD4_T,0.3732118955992466
mRMR,Heming,3,CD8_T,0.2121262847846874
mRMR,Heming,3,DC,0.3352972768234256
mRMR,Heming,3,Mono,0.3298677607238297
mRMR,Heming,3,NK,0.2179686810542294
mRMR,Heming,3,dnT,0.3472073537421044
mRMR,Heming,3,gdT,0.2355166033266662
mRMR,Heming,4,B,0.259631603597254
mRMR,Heming,4,CD4_T,0.4594548337544279
mRMR,Heming,4,CD8_T,0.2406100123023726
mRMR,Heming,4,DC,0.30726037345108
mRMR,Heming,4,Mono,0.2574038499405612
mRMR,Heming,4,NK,0.3147672589701224
mRMR,Heming,4,dnT,0.2627850082299363
mRMR,Heming,4,gdT,0.3134429523342209
mRMR,Heming,5,B,0.2543150365403867
mRMR,Heming,5,CD4_T,0.2899735298138985
mRMR,Heming,5,CD8_T,0.2175482405034548
mRMR,Heming,5,DC,0.3832792966531741
mRMR,Heming,5,Mono,0.2481064886249065
mRMR,Heming,5,NK,0.2171492057876068
mRMR,Heming,5,dnT,0.2132722842593784
mRMR,Heming,5,gdT,0.2599950826516675
DE_top,Heming,1,B,0.4839837395606333
DE_top,Heming,1,CD4_T,0.4802542371108329
DE_top,Heming,1,CD8_T,0.4791577087775056
DE_top,Heming,1,DC,0.6237769511931955
DE_top,Heming,1,Mono,0.3808009633471892
DE_top,Heming,1,NK,0.4307573400886885
DE_top,Heming,1,dnT,0.3710269368073153
DE_top,Heming,1,gdT,0.3426271343858273
DE_top,Heming,2,B,0.4196845668669364
DE_top,Heming,2,CD4_T,0.6819308310613074
DE_top,Heming,2,CD8_T,0.4634269989266706
DE_top,Heming,2,DC,0.4654453130675589
DE_top,Heming,2,Mono,0.2381191325721614
DE_top,Heming,2,NK,0.5625292184195516
DE_top,Heming,2,dnT,0.4307340824106624
DE_top,Heming,2,gdT,0.4426253857324672
ElasticNet,Heming,1,B,0.648507026989732
ElasticNet,Heming,1,CD4_T,0.7617046612935555
ElasticNet,Heming,1,CD8_T,0.5623443262042421
ElasticNet,Heming,1,DC,0.8058934157257183
